matrix_index_0based,id,type,x,y,z,r,parent,mass
0,0,0,76.282,395.548,127.17,1.0,-1,0.0049504950495049506
1,1,0,76.282,395.497,127.125,1.0,0,0.0049504950495049506
2,2,0,73.306,394.052,130.725,1.0,1,0.0049504950495049506
3,3,0,68.232,392.16,128.7,1.0,2,0.0049504950495049506
4,4,0,69.78,394.895,127.125,1.0,3,0.0049504950495049506
5,5,0,70.451,394.224,125.55,1.0,4,0.0049504950495049506
6,6,0,81.906,394.258,122.085,1.0,5,0.0049504950495049506
7,7,0,88.683,395.944,121.41,1.0,6,0.0049504950495049506
8,8,0,89.027,395.892,121.32,1.0,7,0.0049504950495049506
9,9,0,93.826,396.615,119.745,1.0,8,0.0049504950495049506
10,10,0,99.468,399.642,118.935,1.0,9,0.0049504950495049506
11,11,0,100.637,403.77,114.705,1.0,10,0.0049504950495049506
12,12,0,101.463,409.48,112.59,1.0,11,0.0049504950495049506
13,13,0,98.418,415.397,111.33,1.0,12,0.0049504950495049506
14,14,0,93.964,418.373,110.88,1.0,13,0.0049504950495049506
15,15,0,90.266,425.752,112.545,1.0,14,0.0049504950495049506
16,16,0,87.359,430.086,113.04,1.0,15,0.0049504950495049506
17,17,0,64.053,447.854,119.07,1.0,16,0.0049504950495049506
18,18,0,62.574,449.797,120.24,1.0,17,0.0049504950495049506
19,19,0,61.645,451.964,121.41,1.0,18,0.0049504950495049506
20,20,0,58.102,450.485,123.255,1.0,19,0.0049504950495049506
21,21,0,54.799,447.991,126.63,1.0,20,0.0049504950495049506
22,22,0,54.386,447.32,127.17,1.0,21,0.0049504950495049506
23,23,0,48.986,446.202,130.185,1.0,22,0.0049504950495049506
24,24,0,44.084,442.676,132.93,1.0,23,0.0049504950495049506
25,25,0,38.339,443.072,137.07,1.0,24,0.0049504950495049506
26,26,0,33.506,442.023,138.06,1.0,25,0.0049504950495049506
27,27,0,31.184,440.836,139.095,1.0,26,0.0049504950495049506
28,28,0,31.356,439.512,141.57,1.0,27,0.0049504950495049506
29,29,0,33.144,439.288,147.51,1.0,28,0.0049504950495049506
30,30,0,30.685,440.475,149.49,1.0,29,0.0049504950495049506
31,31,0,29.653,440.905,153.225,1.0,30,0.0049504950495049506
32,32,0,29.567,440.286,155.475,1.0,31,0.0049504950495049506
33,33,0,30.255,438.514,158.49,1.0,32,0.0049504950495049506
34,34,0,27.451,439.271,164.25,1.0,33,0.0049504950495049506
35,35,0,26.058,438.892,167.31,1.0,34,0.0049504950495049506
36,36,0,25.542,438.445,167.985,1.0,35,0.0049504950495049506
37,37,0,59.546,454.183,121.365,1.0,20,0.0049504950495049506
38,38,0,56.932,459.343,119.79,1.0,37,0.0049504950495049506
39,39,0,51.153,464.434,118.26,1.0,38,0.0049504950495049506
40,40,0,50.035,466.774,116.64,1.0,39,0.0049504950495049506
41,41,0,44.961,472.501,115.065,1.0,40,0.0049504950495049506
42,42,0,42.054,475.202,110.97,1.0,41,0.0049504950495049506
43,43,0,42.174,475.528,109.575,1.0,42,0.0049504950495049506
44,44,0,41.934,476.044,107.325,1.0,43,0.0049504950495049506
45,45,0,42.037,473.929,104.67,1.0,44,0.0049504950495049506
46,46,0,42.071,474.479,99.135,1.0,45,0.0049504950495049506
47,47,0,42.742,473.464,96.75,1.0,46,0.0049504950495049506
48,48,0,44.359,474.393,93.06,1.0,47,0.0049504950495049506
49,49,0,45.098,474.342,91.17,1.0,48,0.0049504950495049506
50,50,0,46.216,475.718,87.885,1.0,49,0.0049504950495049506
51,51,0,46.234,475.528,87.39,1.0,50,0.0049504950495049506
52,52,0,46.406,472.364,85.32,1.0,51,0.0049504950495049506
53,53,0,45.769,472.966,86.94,1.0,52,0.0049504950495049506
54,54,0,45.528,472.897,86.805,1.0,53,0.0049504950495049506
55,55,0,43.069,478.418,101.205,1.0,44,0.0049504950495049506
56,56,0,46.096,478.401,102.6,1.0,55,0.0049504950495049506
57,57,0,46.732,478.263,104.22,1.0,56,0.0049504950495049506
58,58,0,48.005,466.086,111.15,1.0,41,0.0049504950495049506
59,59,0,50.895,465.071,106.875,1.0,58,0.0049504950495049506
60,60,0,51.05,457.916,105.03,1.0,59,0.0049504950495049506
61,61,0,51.342,446.736,135.9,1.0,23,0.0049504950495049506
62,62,0,51.892,447.062,139.995,1.0,61,0.0049504950495049506
63,63,0,52.838,448.576,141.435,1.0,62,0.0049504950495049506
64,64,0,54.008,449.814,143.145,1.0,63,0.0049504950495049506
65,65,0,56.691,454.682,147.24,1.0,64,0.0049504950495049506
66,66,0,56.468,454.768,153.405,1.0,65,0.0049504950495049506
67,67,0,53.337,458.38,152.73,1.0,66,0.0049504950495049506
68,68,0,52.821,458.827,152.55,1.0,67,0.0049504950495049506
69,69,0,61.542,457.451,150.525,1.0,65,0.0049504950495049506
70,70,0,61.937,457.486,150.975,1.0,69,0.0049504950495049506
71,71,0,62.711,457.933,151.155,1.0,70,0.0049504950495049506
72,72,0,45.116,473.292,115.65,1.0,41,0.0049504950495049506
73,73,0,45.46,474.892,115.245,1.0,72,0.0049504950495049506
74,74,0,46.578,476.474,114.975,1.0,73,0.0049504950495049506
75,75,0,48.831,477.592,115.83,1.0,74,0.0049504950495049506
76,76,0,51.789,477.868,114.345,1.0,75,0.0049504950495049506
77,77,0,53.475,476.371,114.975,1.0,76,0.0049504950495049506
78,78,0,44.015,472.467,114.12,1.0,41,0.0049504950495049506
79,79,0,39.749,472.209,116.145,1.0,78,0.0049504950495049506
80,80,0,35.208,472.192,118.935,1.0,79,0.0049504950495049506
81,81,0,84.039,433.406,113.22,1.0,16,0.0049504950495049506
82,82,0,82.887,447.131,111.24,1.0,81,0.0049504950495049506
83,83,0,86.705,449.436,110.43,1.0,82,0.0049504950495049506
84,84,0,89.371,451.311,110.655,1.0,83,0.0049504950495049506
85,85,0,94.497,455.404,109.665,1.0,84,0.0049504950495049506
86,86,0,99.175,457.056,109.845,1.0,85,0.0049504950495049506
87,87,0,102.925,460.513,107.19,1.0,86,0.0049504950495049506
88,88,0,104.748,467.376,106.38,1.0,87,0.0049504950495049506
89,89,0,107.947,470.523,106.425,1.0,88,0.0049504950495049506
90,90,0,112.866,471.762,104.085,1.0,89,0.0049504950495049506
91,91,0,113.795,472.759,104.175,1.0,90,0.0049504950495049506
92,92,0,115.687,472.897,104.85,1.0,91,0.0049504950495049506
93,93,0,121.243,472.037,100.845,1.0,92,0.0049504950495049506
94,94,0,123.616,472.656,99.36,1.0,93,0.0049504950495049506
95,95,0,126.317,472.123,97.785,1.0,94,0.0049504950495049506
96,96,0,51.686,451.018,143.505,1.0,62,0.0049504950495049506
97,97,0,50.035,451.053,150.12,1.0,96,0.0049504950495049506
98,98,0,50.912,451.431,150.48,1.0,97,0.0049504950495049506
99,99,0,34.796,440.664,136.44,1.0,25,0.0049504950495049506
