i,j,mass
0,0,0.0049504950495049506
1,0,0.000230852100754117
1,1,0.0047196429487508336
2,1,0.000461704201508234
2,2,0.0044887908479967166
3,4,0.001154260503770585
3,5,0.0037962345457343656
4,5,0.001385112604524702
4,6,0.0035653824449802486
5,6,0.001615964705278819
5,7,0.0033345303442261316
6,9,0.0049504950495049506
7,10,0.0049504950495049506
8,10,0.000230852100754117
8,11,0.000230852100754117
8,181,0.002539373108295287
8,192,0.0019494177397014296
9,11,0.0049504950495049506
10,12,0.0049504950495049506
11,14,0.000692556302262351
11,150,0.0042579387472426
12,14,0.0044887908479967166
12,15,0.000461704201508234
13,15,0.0047196429487508336
13,16,0.000230852100754117
14,16,0.0049504950495049506
15,17,0.0049504950495049506
16,20,0.0049504950495049506
17,21,0.0049504950495049506
18,21,0.000230852100754117
18,102,0.0047196429487508336
19,102,0.000461704201508234
19,103,0.0044887908479967166
20,22,0.0049504950495049506
21,27,0.0036423331452316377
21,28,0.0013081619042733129
22,28,0.0038731852459857547
22,29,0.0010773098035191959
23,30,0.004334889447493989
23,31,0.0006156056020109619
24,32,0.000692556302262351
24,86,0.0042579387472426
25,89,0.0049504950495049506
26,90,0.004283588980659704
26,95,0.000230852100754117
26,96,0.00043605396809112944
27,59,0.0028728261427178976
27,60,0.002077668906787053
28,60,0.0031036782434720146
28,61,0.001846816806032936
29,61,0.0033345303442261316
29,62,0.001615964705278819
30,62,0.0035653824449802486
30,67,0.001385112604524702
31,63,0.001154260503770585
31,67,0.0037962345457343656
32,63,0.004027086646488483
32,68,0.000923408403016468
33,64,0.000692556302262351
33,68,0.0042579387472426
34,64,0.0044887908479967166
34,65,0.000461704201508234
35,65,0.0047196429487508336
35,66,0.000230852100754117
36,66,0.0049504950495049506
37,26,0.0034114810444775207
37,27,0.0015390140050274299
38,29,0.004104037346739872
38,30,0.0008464577027650789
39,32,0.0044887908479967166
39,33,0.000461704201508234
40,33,0.0047196429487508336
40,34,0.000230852100754117
41,35,0.0049504950495049506
42,38,0.0049504950495049506
43,38,0.000230852100754117
43,39,0.0003334530344226358
43,40,0.004386189914328198
44,40,0.0007951572359308698
44,41,0.004155337813574081
45,43,0.0019494177397014548
45,44,0.003001077309803496
46,45,0.0024111219412096888
46,46,0.002539373108295262
47,48,0.0033345303442261567
47,53,0.0016159647052787938
48,53,0.0035653824449802737
48,54,0.0013851126045246768
49,50,0.0011542605037705598
49,54,0.0037962345457343907
50,50,0.004027086646488508
50,55,0.0009234084030164428
51,51,0.0006925563022623258
51,55,0.004257938747242625
52,51,0.004488790847996742
52,56,0.00046170420150820884
53,52,0.00023085210075409184
53,56,0.004719642948750859
54,52,0.0049504950495049506
55,44,0.0021802698404555718
55,45,0.002770225209049379
56,46,0.0026419740419638058
56,47,0.002308521007541145
57,48,0.0018468168060329108
57,49,0.0031036782434720397
58,39,0.004847894115836432
58,59,0.0001026009336685188
59,42,0.0017185656389473378
59,43,0.003231929410557613
60,47,0.0028728261427179227
60,49,0.002077668906787028
61,31,0.001462063304776091
61,69,0.0034884317447288595
62,69,0.001692915405530208
62,70,0.0032575796439747425
63,70,0.001923767506284325
63,71,0.0030267275432206255
64,71,0.002154619607038442
64,72,0.0027958754424665085
65,74,0.0033345303442261316
65,75,0.001615964705278819
66,76,0.0037962345457343656
66,77,0.001154260503770585
67,80,0.0047196429487508336
67,81,0.000230852100754117
68,81,0.0049504950495049506
69,77,0.004027086646488483
69,78,0.000923408403016468
70,78,0.0042579387472426
70,79,0.000692556302262351
71,79,0.0044887908479967166
71,80,0.000461704201508234
72,35,0.000230852100754117
72,57,0.0047196429487508336
73,36,0.000692556302262351
73,37,0.0042579387472426
74,37,0.000923408403016468
74,58,0.0013594623711075974
74,82,0.002667624275380885
75,59,0.002205920073872651
75,83,0.0027445749756322994
76,84,0.0049504950495049506
77,41,0.0010260093366849868
77,42,0.0034627815113117298
77,85,0.000461704201508234
78,36,0.0044887908479967166
78,57,0.000461704201508234
79,82,0.0025137228748781824
79,83,0.002436772174626768
80,84,0.000230852100754117
80,85,0.0047196429487508336
81,17,0.000230852100754117
81,18,0.0047196429487508336
82,130,0.002539373108295287
82,131,0.0024111219412096636
83,105,0.0047196429487508336
83,106,0.000230852100754117
84,106,0.0049504950495049506
85,107,0.0049504950495049506
86,117,0.0049504950495049506
87,118,0.0012568614374390786
87,119,0.003693633612065872
88,119,0.0014877135381931956
88,120,0.000230852100754117
88,124,0.003231929410557638
89,120,0.0049504950495049506
90,126,0.0028728261427178976
90,148,0.002077668906787053
91,148,0.0031036782434720146
91,149,0.001846816806032936
92,121,0.001154260503770585
92,127,0.000461704201508234
92,149,0.0033345303442261316
93,121,0.004027086646488483
93,122,0.000692556302262351
93,128,0.000230852100754117
94,122,0.0044887908479967166
94,123,0.000230852100754117
94,129,0.000230852100754117
95,123,0.0049504950495049506
96,72,0.002385471707792559
96,73,0.0025650233417123915
97,73,0.002616323808546676
97,74,0.001846816806032936
97,96,0.00025650233417122154
97,97,0.000230852100754117
98,75,0.0035653824449802486
98,76,0.001385112604524702
99,98,0.0049504950495049506
100,96,0.0044887908479967166
100,98,0.000230852100754117
100,99,0.000230852100754117
101,99,0.0049504950495049506
102,128,0.0049504950495049506
103,129,0.0049504950495049506
104,31,0.0031036782434720146
104,86,0.000923408403016468
104,87,0.000923408403016468
105,88,0.0044887908479967166
105,93,0.000461704201508234
106,95,0.0049504950495049506
107,97,0.0049504950495049506
108,34,0.0049504950495049506
109,58,0.00382188477915147
109,89,0.000230852100754117
109,90,0.0008977581695993634
110,117,0.000230852100754117
110,144,0.0047196429487508336
111,108,0.0006412558354280916
111,118,0.003924485712819989
111,144,0.00038475350125687004
112,108,0.0037962345457343656
112,109,0.001154260503770585
113,109,0.004027086646488483
113,110,0.000923408403016468
114,110,0.0042579387472426
114,111,0.000692556302262351
115,111,0.0044887908479967166
115,112,0.000461704201508234
116,112,0.0047196429487508336
116,113,0.000230852100754117
117,113,0.0049504950495049506
118,87,0.0042579387472426
118,88,0.000692556302262351
119,93,0.0047196429487508336
119,94,0.000230852100754117
120,94,0.0049504950495049506
121,145,0.0049504950495049506
122,124,0.0019494177397014296
122,125,0.002770225209049404
122,145,0.000230852100754117
123,125,0.0024111219412096636
123,146,0.002539373108295287
124,126,0.00230852100754117
124,146,0.0026419740419637806
125,127,0.0047196429487508336
125,147,0.000230852100754117
126,147,0.0049504950495049506
127,24,0.0020263684399528187
127,25,0.002924126609552132
128,25,0.0022572205407069357
128,26,0.0017698661057815469
128,91,0.000923408403016468
129,91,0.0042579387472426
129,92,0.000692556302262351
130,92,0.0044887908479967166
130,100,0.000461704201508234
131,100,0.0047196429487508336
131,101,0.000230852100754117
132,101,0.0049504950495049506
133,22,0.000230852100754117
133,23,0.0047196429487508336
134,23,0.000461704201508234
134,24,0.003154978710306249
134,104,0.000923408403016468
134,105,0.00041040373467399974
135,107,0.000230852100754117
135,108,0.0007438567690966104
135,135,0.003744934078900106
135,136,0.000230852100754117
136,136,0.0049504950495049506
137,103,0.000692556302262351
137,104,0.0042579387472426
138,105,5.130046683423425e-05
138,131,0.002770225209049404
138,132,0.0021289693736213124
139,132,0.003052377776637755
139,133,0.0018981172728671954
140,133,0.003283229877391872
140,134,0.0016672651721130784
141,134,0.003514081978145989
141,135,0.0014364130713589614
142,139,0.0042579387472426
142,140,0.000692556302262351
143,140,0.0044887908479967166
143,141,0.000461704201508234
144,141,0.0047196429487508336
144,142,0.000230852100754117
145,19,0.0047196429487508336
145,20,0.000230852100754117
146,18,0.000461704201508234
146,19,0.000461704201508234
146,137,0.004027086646488483
147,137,0.001154260503770585
147,138,0.0037962345457343656
148,142,0.0049504950495049506
149,152,0.0034371312778946252
149,169,0.000230852100754117
149,170,0.0012825116708562083
150,153,0.0010516595701020913
150,170,0.0038988354794028592
151,153,0.004129687580156976
151,171,0.0008208074693479743
152,154,0.0005899553685938573
152,171,0.004360539680911093
153,154,0.00459139178166521
153,174,0.00035910326783974034
154,172,0.00012825116708562335
154,174,0.004822243882419327
155,172,0.00033345303442261064
155,175,0.00461704201508234
156,155,0.004386189914328223
156,175,0.0005643051351767276
157,155,0.0007951572359308446
157,156,0.000461704201508234
157,173,0.003693633612065872
158,156,0.0047196429487508336
158,157,0.000230852100754117
159,157,0.0049504950495049506
160,3,0.000923408403016468
160,4,0.004027086646488483
161,130,0.0026419740419637806
161,138,0.001385112604524702
161,139,0.000923408403016468
162,160,0.004745293182167963
162,161,0.0002052018673369873
163,162,0.0049504950495049506
164,163,0.0049504950495049506
165,164,0.000230852100754117
165,172,0.0047196429487508336
166,164,0.0049504950495049506
167,165,0.003231929410557638
167,173,0.0014877135381931956
167,184,0.000230852100754117
168,165,0.0019494177397014296
168,166,0.003001077309803521
169,167,0.0047196429487508336
169,168,0.000230852100754117
170,168,0.0049504950495049506
171,8,0.002077668906787053
171,9,0.000230852100754117
171,166,0.0021802698404555466
171,167,0.000461704201508234
172,7,0.001846816806032936
172,8,0.0031036782434720146
173,163,0.000230852100754117
173,181,0.0026419740419637806
173,182,0.002077668906787053
174,183,0.0049504950495049506
175,184,0.0049504950495049506
176,13,0.0049504950495049506
177,177,0.0049504950495049506
178,185,0.000230852100754117
178,186,0.0047196429487508336
179,178,0.000461704201508234
179,187,0.000692556302262351
179,188,0.0037962345457343656
180,178,0.0047196429487508336
180,179,0.000230852100754117
181,179,0.0049504950495049506
182,114,0.000230852100754117
182,115,0.000230852100754117
182,158,0.001154260503770585
182,159,0.0033345303442261316
183,116,0.0005386549017595979
183,161,0.004180988046991236
183,162,0.000230852100754117
184,116,0.00464269224849947
184,143,0.00030780280100548094
185,143,0.004873544349253587
185,144,7.695070025136395e-05
186,150,0.000923408403016468
186,158,0.004027086646488483
187,180,0.0049504950495049506
188,185,0.0049504950495049506
189,186,0.000461704201508234
189,187,0.0044887908479967166
190,189,0.0049504950495049506
191,114,0.0049504950495049506
192,115,0.0049504950495049506
193,13,0.000230852100754117
193,151,0.0028728261427178976
193,159,0.001846816806032936
194,151,0.00230852100754117
194,176,0.0026419740419637806
195,12,0.000230852100754117
195,152,0.0017442158723644423
195,160,0.0004360539680911043
195,176,0.002539373108295287
196,169,0.0049504950495049506
197,161,0.0007951572359308446
197,180,0.000230852100754117
197,190,0.003924485712819989
198,177,0.000230852100754117
198,190,0.0012568614374390786
198,191,0.003462781511311755
199,191,0.0017185656389473126
199,192,0.003231929410557638
200,182,0.0031036782434720146
200,183,0.000230852100754117
200,188,0.001385112604524702
200,189,0.000230852100754117
201,2,0.000692556302262351
201,3,0.0042579387472426
